Data for 1/(2pi p_T) d^2sigma/(dy dp_T) mb/(GeV/c)^2 as a function of pT
for vector meson production (3=(K*+K*bar)/2; 5=omega; 6=phi) at
different sqrt(s) for central collisions |y| <=0.5, averaged over y range.

Model = Broken SU(3) model; Int.J.Mod.Phys. A32 (2017) no.33, 1750199.

Flavour    pT (GeV/c) root(s)=0.20, 	2.76,	     7.00         14.00 TeV
---------------------------------------------------------------------------
   5    .3743E+01  .1624E-03  	   .3637E-02 	   .8621E-02 	   .1562E-01 
   5    .3874E+01  .1278E-03  	   .2978E-02 	   .7126E-02 	   .1299E-01 
   5    .4001E+01  .1021E-03  	   .2469E-02 	   .5960E-02 	   .1092E-01 
   5    .4124E+01  .8265E-04  	   .2068E-02 	   .5033E-02 	   .9274E-02 
   5    .4244E+01  .6738E-04  	   .1744E-02 	   .4278E-02 	   .7924E-02 
   5    .4360E+01  .5585E-04  	   .1491E-02 	   .3684E-02 	   .6856E-02 
   5    .4473E+01  .4672E-04  	   .1285E-02 	   .3197E-02 	   .5976E-02 
   5    .5001E+01  .2138E-04 	   .6724E-03 	   .1722E-02 	   .3280E-02 
   5    .5478E+01  .1119E-04	   .3939E-03 	   .1033E-02 	   .1999E-02 
   5    .5917E+01  .6440E-05  	   .2503E-03 	   .6692E-03 	   .1312E-02 
   5    .7072E+01  .1752E-05 	   .8706E-04 	   .2435E-03 	   .4919E-03 
   5    .7417E+01  .1229E-05	   .6552E-04 	   .1855E-03 	   .3777E-03 
   5    .7747E+01  .8864E-06	   .5052E-04 	   .1446E-03 	   .2966E-03 
   5    .8063E+01  .6549E-06  	   .3975E-04 	   .1149E-03 	   .2373E-03 
   5    .8367E+01  .4940E-06 	   .3181E-04 	   .9285E-04 	   .1929E-03 
   5    .8945E+01  .2956E-06	   .2128E-04 	   .6317E-04 	   .1327E-03 
   5    .9487E+01  .1868E-06  	   .1491E-04 	   .4494E-04 	   .9530E-04 
   5    .1000E+02  .1232E-06 	   .1084E-04 	   .3312E-04 	   .7086E-04 
   5    .1049E+02  .8424E-07	   .8114E-05 	   .2509E-04 	   .5410E-04 
   5    .1095E+02  .5930E-07  	   .6225E-05 	   .1947E-04 	   .4227E-04 
   5    .1140E+02  .4278E-07 	   .4877E-05 	   .1541E-04 	   .3368E-04 
   5    .1183E+02  .3151E-07	   .3889E-05 	   .1241E-04 	   .2728E-04 
   5    .1225E+02  .2364E-07  	   .3149E-05 	   .1014E-04 	   .2242E-04 
   5    .1265E+02  .1801E-07 	   .2584E-05 	   .8389E-05 	   .1866E-04 
   5    .1304E+02  .1392E-07	   .2146E-05 	   .7022E-05 	   .1569E-04 
   5    .1342E+02  .1089E-07  	   .1800E-05 	   .5937E-05 	   .1333E-04 
   5    .1414E+02  .6900E-08 	   .1301E-05 	   .4350E-05 	   .9854E-05 
