2.02E+02	1.43E-04	1.34E-04	1.11E-04
2.04E+02	1.33E-04	1.24E-04	1.04E-04
2.06E+02	1.24E-04	1.16E-04	9.67E-05
2.08E+02	1.16E-04	1.08E-04	9.03E-05
2.10E+02	1.08E-04	1.01E-04	8.41E-05
2.12E+02	1.01E-04	9.44E-05	7.86E-05
2.14E+02	9.43E-05	8.82E-05	7.34E-05
2.16E+02	8.81E-05	8.24E-05	6.86E-05
2.18E+02	8.24E-05	7.72E-05	6.42E-05
2.20E+02	7.72E-05	7.22E-05	6.01E-05
2.22E+02	7.23E-05	6.77E-05	5.63E-05
2.24E+02	6.78E-05	6.34E-05	5.28E-05
2.26E+02	6.36E-05	5.94E-05	4.95E-05
2.28E+02	5.96E-05	5.57E-05	4.63E-05
2.30E+02	5.59E-05	5.22E-05	4.35E-05
2.32E+02	5.26E-05	4.91E-05	4.08E-05
2.34E+02	4.94E-05	4.61E-05	3.83E-05
2.36E+02	4.64E-05	4.33E-05	3.60E-05
2.38E+02	4.37E-05	4.07E-05	3.38E-05
2.40E+02	4.11E-05	3.83E-05	3.18E-05
2.42E+02	3.87E-05	3.61E-05	2.99E-05
2.44E+02	3.64E-05	3.40E-05	2.82E-05
2.46E+02	3.43E-05	3.20E-05	2.65E-05
2.48E+02	3.24E-05	3.02E-05	2.50E-05
2.50E+02	3.05E-05	2.85E-05	2.36E-05
