2.00E+00	4.06E+08	4.82E+08	4.18E+08
4.00E+00	2.32E+07	1.53E+07	1.16E+07
6.00E+00	2.48E+06	1.64E+06	1.24E+06
8.00E+00	4.60E+05	3.17E+05	2.44E+05
1.00E+01	1.20E+05	8.69E+04	6.72E+04
1.20E+01	3.99E+04	2.97E+04	2.31E+04
1.40E+01	1.56E+04	1.19E+04	9.30E+03
1.60E+01	6.79E+03	5.31E+03	4.17E+03
1.80E+01	3.27E+03	2.60E+03	2.06E+03
2.00E+01	1.68E+03	1.37E+03	1.08E+03
2.20E+01	9.29E+02	7.61E+02	6.04E+02
2.40E+01	5.35E+02	4.43E+02	3.55E+02
2.60E+01	3.21E+02	2.70E+02	2.17E+02
2.80E+01	2.01E+02	1.70E+02	1.36E+02
3.00E+01	1.29E+02	1.11E+02	8.89E+01
3.20E+01	8.56E+01	7.34E+01	5.94E+01
3.40E+01	5.77E+01	5.02E+01	4.05E+01
3.60E+01	3.99E+01	3.50E+01	2.83E+01
3.80E+01	2.82E+01	2.48E+01	2.00E+01
4.00E+01	2.02E+01	1.78E+01	1.45E+01
4.20E+01	1.48E+01	1.31E+01	1.06E+01
4.40E+01	1.09E+01	9.69E+00	7.89E+00
4.60E+01	8.13E+00	7.28E+00	5.92E+00
4.80E+01	6.17E+00	5.54E+00	4.51E+00
5.00E+01	4.72E+00	4.25E+00	3.46E+00
5.20E+01	3.65E+00	3.30E+00	2.69E+00
5.40E+01	2.85E+00	2.58E+00	2.10E+00
5.60E+01	2.24E+00	2.03E+00	1.66E+00
5.80E+01	1.78E+00	1.62E+00	1.32E+00
6.00E+01	1.42E+00	1.29E+00	1.06E+00
6.20E+01	1.14E+00	1.04E+00	8.56E-01
6.40E+01	9.26E-01	8.47E-01	6.95E-01
6.60E+01	7.56E-01	6.92E-01	5.68E-01
6.80E+01	6.20E-01	5.69E-01	4.66E-01
7.00E+01	5.10E-01	4.68E-01	3.85E-01
7.20E+01	4.24E-01	3.89E-01	3.20E-01
7.40E+01	3.52E-01	3.24E-01	2.67E-01
7.60E+01	2.95E-01	2.71E-01	2.24E-01
7.80E+01	2.48E-01	2.29E-01	1.88E-01
8.00E+01	2.08E-01	1.93E-01	1.59E-01
8.20E+01	1.77E-01	1.64E-01	1.35E-01
8.40E+01	1.50E-01	1.39E-01	1.15E-01
8.60E+01	1.28E-01	1.19E-01	9.79E-02
8.80E+01	1.10E-01	1.02E-01	8.39E-02
